cliente,total_gasto,segmento
14004,4094.91,Prata
17975,4085.92,Prata
15493,4083.93,Prata
13988,4078.44,Prata
16607,4070.69,Prata
17001,4066.91,Prata
13491,4064.98,Prata
12523,4061.0,Prata
14277,4060.26,Prata
14209,4058.63,Prata
17663,4058.42,Prata
15752,4049.2,Prata
14825,4037.51,Prata
13875,4035.95,Prata
15680,4029.58,Prata
15144,4027.61,Prata
15708,4016.34,Prata
14341,4016.02,Prata
12380,4008.82,Prata
16081,4008.66,Prata
14249,3995.981,Prata
17861,3992.8,Prata
18077,3966.3,Prata
17802,3965.58,Prata
13266,3965.1,Prata
12935,3959.56,Prata
13802,3958.25,Prata
16767,3952.5099999999998,Prata
13384,3946.86,Prata
14299,3945.88,Prata
13157,3932.64,Prata
16143,3924.51,Prata
14334,3912.3,Prata
17730,3908.94,Prata
17372,3907.64,Prata
15861,3907.0,Prata
13021,3899.88,Prata
15394,3898.48,Prata
17211,3898.25,Prata
16422,3894.73,Prata
18257,3893.2,Prata
16791,3890.25,Prata
15804,3886.43,Prata
15518,3883.58,Prata
12347,3881.7400000000002,Prata
12536,3881.65,Prata
16125,3878.09,Prata
17863,3877.64,Prata
15228,3870.34,Prata
13880,3869.07,Prata
13124,3863.37,Prata
16153,3859.81,Prata
16150,3859.39,Prata
16712,3854.04,Prata
17613,3851.12,Prata
12700,3844.89,Prata
17218,3839.19,Prata
16072,3838.92,Prata
16571,3834.92,Prata
12747,3831.76,Prata
14107,3827.87,Prata
13658,3826.5,Prata
14191,3825.28,Prata
15764,3815.89,Prata
16057,3815.25,Prata
14239,3801.36,Prata
16455,3795.73,Prata
14211,3789.39,Prata
15046,3779.92,Prata
16875,3775.2200000000003,Prata
18272,3769.56,Prata
12656,3767.31,Prata
12395,3765.81,Prata
12553,3737.87,Prata
13983,3737.3,Prata
17954,3731.69,Prata
14257,3730.73,Prata
15819,3724.43,Prata
12758,3723.8,Prata
17287,3705.05,Prata
16320,3699.54,Prata
15290,3697.83,Prata
13995,3695.9700000000003,Prata
17314,3685.96,Prata
15514,3678.85,Prata
16019,3676.7200000000003,Prata
17019,3669.02,Prata
12480,3665.61,Prata
15421,3657.14,Prata
14740,3650.02,Prata
13044,3647.68,Prata
15827,3644.42,Prata
13562,3644.4100000000003,Prata
13126,3643.71,Prata
15532,3634.76,Prata
12709,3633.24,Prata
15811,3632.73,Prata
14701,3632.54,Prata
13048,3631.83,Prata
13481,3624.34,Prata
15416,3616.56,Prata
13756,3613.25,Prata
16503,3608.04,Prata
13357,3604.3,Prata
15365,3603.05,Prata
12744,3598.57,Prata
16401,3597.0699999999997,Prata
15527,3590.9900000000002,Prata
15696,3587.12,Prata
12627,3584.75,Prata
13426,3578.51,Prata
17618,3571.7200000000003,Prata
17667,3555.32,Prata
16008,3552.05,Prata
16719,3551.15,Prata
12721,3543.79,Prata
16771,3540.92,Prata
14514,3537.23,Prata
15858,3536.89,Prata
13542,3528.2200000000003,Prata
13870,3525.62,Prata
15024,3520.79,Prata
16743,3513.86,Prata
17738,3504.02,Prata
15981,3503.67,Prata
14868,3502.11,Prata
13014,3481.4700000000003,Prata
14857,3481.361,Prata
14547,3477.75,Prata
15665,3473.91,Prata
14733,3463.61,Prata
12840,3460.0099999999998,Prata
15356,3456.25,Prata
13523,3441.7,Prata
16905,3441.4900000000002,Prata
15059,3437.8,Prata
18168,3433.27,Prata
14593,3431.45,Prata
17567,3421.41,Prata
13037,3420.51,Prata
16360,3412.66,Prata
16745,3412.13,Prata
17659,3411.38,Prata
15122,3405.42,Prata
14626,3403.89,Prata
14648,3396.34,Prata
13979,3395.23,Prata
16732,3377.76,Prata
17412,3368.82,Prata
12782,3368.34,Prata
15834,3367.27,Prata
13552,3367.08,Prata
16570,3362.81,Prata
17508,3357.82,Prata
13958,3354.36,Prata
15571,3351.46,Prata
16456,3349.6,Prata
17913,3340.03,Prata
12594,3335.1600000000003,Prata
13285,3334.35,Prata
13771,3332.59,Prata
18219,3332.4900000000002,Prata
15240,3331.84,Prata
14032,3316.0699999999997,Prata
13031,3314.24,Prata
16253,3300.62,Prata
16395,3300.4900000000002,Prata
13849,3291.19,Prata
17646,3283.7200000000003,Prata
14451,3270.52,Prata
14913,3269.39,Prata
12731,3269.23,Prata
15572,3266.42,Prata
17050,3262.57,Prata
12963,3255.73,Prata
14878,3253.69,Prata
13505,3251.71,Prata
17672,3251.6600000000003,Prata
17096,3246.94,Prata
12569,3246.7400000000002,Prata
14640,3235.84,Prata
13113,3232.75,Prata
12562,3229.92,Prata
17673,3227.89,Prata
16444,3227.42,Prata
17063,3226.29,Prata
12455,3224.15,Prata
13632,3222.05,Prata
14088,3219.32,Prata
16059,3217.77,Prata
12951,3213.7200000000003,Prata
17774,3207.84,Prata
14669,3207.33,Prata
12865,3206.35,Prata
15265,3200.77,Prata
17071,3196.41,Prata
14817,3187.42,Prata
14506,3185.75,Prata
13722,3179.98,Prata
14770,3173.37,Prata
15465,3172.76,Prata
14540,3161.06,Prata
13895,3158.77,Prata
14854,3157.18,Prata
17722,3155.48,Prata
13291,3151.26,Prata
13982,3145.63,Prata
15114,3145.4,Prata
16839,3143.69,Prata
13911,3132.33,Prata
13214,3124.37,Prata
12872,3113.14,Prata
12449,3113.09,Prata
14215,3107.42,Prata
14837,3106.68,Prata
16918,3073.79,Prata
12360,3071.15,Prata
15129,3065.1,Prata
17228,3059.58,Prata
14161,3046.38,Prata
16208,3045.05,Prata
17725,3043.5,Prata
16210,3041.11,Prata
16271,3040.41,Prata
16101,3038.26,Prata
17528,3037.06,Prata
16053,3029.56,Prata
13576,3029.4,Prata
16128,3023.21,Prata
13611,3022.29,Prata
12598,3020.57,Prata
14952,3018.15,Prata
13313,3014.2400000000002,Prata
12597,3013.82,Prata
14653,3012.63,Prata
14051,3012.56,Prata
15494,3010.79,Prata
17406,3010.03,Prata
14649,3005.05,Prata
16466,3002.85,Prata
16007,3000.62,Prata
17530,2997.22,Prata
16440,2996.37,Prata
17491,2995.58,Prata
16818,2995.55,Prata
16094,2995.2599999999998,Prata
15351,2991.56,Prata
17519,2990.75,Prata
12757,2985.8,Prata
12631,2983.87,Prata
15480,2976.41,Prata
15676,2975.67,Prata
15916,2967.04,Prata
14442,2966.17,Prata
16928,2965.14,Prata
12357,2957.28,Prata
16351,2951.93,Prata
14456,2940.98,Prata
15845,2940.81,Prata
15235,2937.81,Prata
14044,2933.29,Prata
12609,2932.52,Prata
16347,2927.43,Prata
16841,2921.99,Prata
12727,2916.53,Prata
14978,2915.56,Prata
15757,2911.32,Prata
17829,2909.7200000000003,Prata
16560,2907.68,Prata
15967,2902.3,Prata
13764,2898.66,Prata
17422,2892.37,Prata
15596,2892.04,Prata
14532,2887.18,Prata
12371,2884.33,Prata
12928,2884.15,Prata
13650,2884.09,Prata
18044,2881.57,Prata
13268,2878.2,Prata
14498,2875.85,Prata
14282,2874.58,Prata
13557,2870.98,Prata
14135,2870.9500000000003,Prata
16003,2854.84,Prata
15687,2848.98,Prata
13446,2848.81,Prata
14401,2846.72,Prata
17512,2845.76,Prata
12578,2842.55,Prata
12916,2840.29,Prata
13890,2837.38,Prata
13742,2833.96,Prata
14217,2827.91,Prata
16954,2827.9,Prata
15058,2827.29,Prata
14934,2823.3,Prata
15353,2820.15,Prata
13196,2816.89,Prata
12838,2815.89,Prata
15862,2811.17,Prata
13728,2810.23,Prata
13437,2804.0,Prata
15712,2800.2000000000003,Prata
16764,2799.25,Prata
17204,2798.07,Prata
13804,2797.06,Prata
12511,2795.36,Prata
15983,2794.66,Prata
12444,2792.71,Prata
14507,2791.68,Prata
15255,2787.7,Prata
17961,2785.38,Prata
18229,2780.39,Prata
13090,2779.31,Prata
14855,2777.7,Prata
15791,2772.69,Prata
17032,2771.93,Prata
15031,2771.73,Prata
13772,2769.47,Prata
18241,2768.79,Prata
15993,2768.53,Prata
13736,2766.21,Prata
16986,2763.35,Prata
15484,2761.93,Prata
16612,2760.18,Prata
16383,2760.16,Prata
13213,2757.88,Prata
13421,2753.9700000000003,Prata
14748,2751.2599999999998,Prata
14312,2746.15,Prata
13305,2744.69,Prata
12625,2744.59,Prata
15021,2742.33,Prata
18283,2736.65,Prata
14903,2734.43,Prata
14466,2733.7,Prata
15823,2733.62,Prata
16335,2731.0,Prata
14898,2726.41,Prata
13052,2725.74,Prata
12349,2723.64,Prata
17145,2720.59,Prata
14047,2715.23,Prata
13635,2712.66,Prata
15974,2712.15,Prata
12589,2709.91,Prata
16554,2703.42,Prata
15065,2702.69,Prata
16103,2701.91,Prata
15123,2700.99,Prata
14344,2696.1,Prata
14963,2691.2,Prata
16755,2690.59,Prata
15704,2690.32,Prata
16225,2690.11,Prata
12623,2688.7200000000003,Prata
13110,2686.57,Prata
17230,2683.57,Prata
16912,2669.2400000000002,Prata
13577,2667.36,Prata
15312,2666.79,Prata
14309,2666.34,Prata
14869,2662.28,Prata
12853,2660.1,Prata
14125,2653.03,Prata
13719,2650.01,Prata
15410,2648.31,Prata
15291,2640.35,Prata
15051,2638.52,Prata
14560,2632.88,Prata
14565,2626.86,Prata
12982,2624.39,Prata
15067,2620.13,Prata
14621,2615.73,Prata
17552,2609.41,Prata
13520,2598.7,Prata
14132,2598.17,Prata
16633,2592.25,Prata
12422,2592.2,Prata
17884,2591.91,Prata
16775,2591.7400000000002,Prata
12955,2587.4,Prata
16718,2586.85,Prata
17685,2584.4500000000003,Prata
16933,2583.36,Prata
14673,2583.29,Prata
15111,2580.87,Prata
16244,2579.38,Prata
12854,2575.21,Prata
15910,2574.04,Prata
12635,2566.77,Prata
13425,2566.63,Prata
13464,2562.2,Prata
13012,2560.73,Prata
15785,2559.47,Prata
17463,2557.91,Prata
15633,2556.73,Prata
16115,2554.14,Prata
15716,2553.77,Prata
13823,2551.48,Prata
13192,2548.08,Prata
12877,2545.03,Prata
14810,2537.02,Prata
16626,2536.38,Prata
15329,2536.38,Prata
14659,2529.93,Prata
14038,2519.28,Prata
14524,2517.15,Prata
13652,2515.17,Prata
15965,2511.87,Prata
14441,2508.89,Prata
15625,2502.96,Prata
12370,2498.15,Prata
17790,2494.56,Prata
15810,2493.54,Prata
16016,2493.14,Prata
15073,2492.86,Prata
13077,2489.56,Prata
16983,2489.37,Prata
12826,2483.63,Prata
13963,2482.35,Prata
15817,2478.7,Prata
14573,2478.31,Prata
12937,2477.09,Prata
16837,2475.3,Prata
17692,2473.68,Prata
17676,2472.9,Prata
17164,2467.35,Prata
16407,2464.29,Prata
17320,2463.61,Prata
14696,2459.02,Prata
14290,2455.9500000000003,Prata
16795,2454.04,Prata
12820,2450.96,Prata
17596,2447.96,Prata
15093,2446.38,Prata
13117,2445.99,Prata
16520,2442.82,Prata
13862,2439.69,Prata
12377,2436.34,Prata
16817,2432.76,Prata
16206,2417.55,Prata
14410,2417.32,Prata
13471,2415.58,Prata
12645,2414.55,Prata
15033,2410.57,Prata
15062,2410.04,Prata
14060,2408.32,Prata
14867,2404.44,Prata
17732,2401.9900000000002,Prata
17293,2396.21,Prata
13851,2395.2200000000003,Prata
13485,2394.66,Prata
15306,2393.87,Prata
16985,2393.5,Prata
12685,2387.4,Prata
15660,2387.31,Prata
13455,2386.83,Prata
18210,2386.73,Prata
16748,2386.73,Prata
15860,2385.2400000000002,Prata
17188,2384.03,Prata
13507,2381.36,Prata
12688,2376.05,Prata
15241,2373.96,Prata
17921,2372.5,Prata
13644,2365.54,Prata
17284,2365.31,Prata
14449,2363.7,Prata
14758,2363.53,Prata
13032,2363.39,Prata
12517,2358.84,Prata
15563,2358.38,Prata
12726,2357.7599999999998,Prata
14842,2357.01,Prata
16499,2343.02,Prata
18230,2337.46,Prata
16369,2336.04,Prata
12701,2333.43,Prata
16470,2332.18,Prata
13151,2331.85,Prata
14503,2330.36,Prata
15332,2328.56,Prata
13813,2325.19,Prata
12423,2323.47,Prata
12524,2320.16,Prata
17465,2313.83,Prata
14315,2313.82,Prata
13614,2308.34,Prata
16005,2306.62,Prata
18188,2306.35,Prata
14262,2304.61,Prata
17894,2304.13,Prata
16229,2303.86,Prata
16012,2303.52,Prata
13588,2303.51,Prata
14739,2298.68,Prata
13203,2298.36,Prata
12391,2292.84,Prata
14502,2291.57,Prata
17623,2284.9700000000003,Prata
14292,2284.41,Prata
15491,2284.1,Prata
15370,2282.7,Prata
14443,2280.75,Prata
16218,2276.85,Prata
14121,2275.85,Prata
15105,2275.61,Prata
14256,2268.79,Prata
16889,2266.12,Prata
12530,2257.44,Prata
12406,2256.14,Prata
13422,2252.44,Prata
13647,2248.7,Prata
12868,2247.06,Prata
12843,2240.6,Prata
16539,2239.71,Prata
13173,2231.33,Prata
13320,2228.1,Prata
16515,2227.16,Prata
16085,2226.77,Prata
13662,2226.71,Prata
12473,2225.7,Prata
12520,2222.49,Prata
16108,2222.0,Prata
16353,2221.85,Prata
13162,2221.8,Prata
16434,2221.06,Prata
16736,2220.53,Prata
16062,2217.4900000000002,Prata
14062,2208.69,Prata
14467,2208.39,Prata
16065,2208.12,Prata
15373,2205.4900000000002,Prata
15632,2202.25,Prata
13055,2201.74,Prata
14462,2200.17,Prata
15426,2199.95,Prata
16678,2197.06,Prata
16045,2194.85,Prata
17047,2194.83,Prata
13477,2193.88,Prata
13994,2193.44,Prata
15854,2190.33,Prata
14824,2190.16,Prata
17787,2186.4700000000003,Prata
14700,2186.44,Prata
16358,2184.89,Prata
14776,2184.3,Prata
15079,2176.07,Prata
16531,2175.93,Prata
13777,2174.02,Prata
16177,2165.91,Prata
12502,2165.07,Prata
12976,2162.84,Prata
13536,2162.76,Prata
13707,2160.4900000000002,Prata
17113,2156.89,Prata
17082,2156.53,Prata
15227,2149.31,Prata
14472,2147.6,Prata
14665,2147.6,Prata
16987,2141.54,Prata
14745,2141.19,Prata
14499,2138.9700000000003,Prata
13280,2137.74,Prata
14064,2134.94,Prata
12408,2134.21,Prata
13059,2133.67,Prata
16147,2133.21,Prata
12909,2128.39,Prata
17702,2127.16,Prata
13610,2124.88,Prata
15722,2122.71,Prata
16871,2121.4900000000002,Prata
14897,2120.9,Prata
15182,2120.612,Prata
15434,2119.94,Prata
12876,2117.33,Prata
16131,2116.41,Prata
15089,2116.21,Prata
17827,2115.58,Prata
17389,2108.52,Prata
16341,2104.91,Prata
16684,2103.65,Prata
12948,2102.51,Prata
16807,2100.48,Prata
12388,2098.36,Prata
14396,2094.73,Prata
13888,2094.41,Prata
16701,2093.67,Prata
15245,2091.44,Prata
16042,2090.7,Prata
12856,2089.21,Prata
13107,2083.39,Prata
12857,2082.0,Prata
13517,2080.54,Prata
12802,2077.1,Prata
17075,2075.23,Prata
17348,2073.41,Prata
17180,2072.5099999999998,Prata
18287,2072.35,Prata
14723,2071.64,Prata
14205,2070.73,Prata
17550,2069.01,Prata
15164,2068.92,Prata
17994,2064.44,Prata
16525,2062.66,Prata
17043,2061.75,Prata
16040,2060.8,Prata
16934,2059.75,Prata
17634,2055.87,Prata
12468,2055.45,Prata
16350,2053.61,Prata
14896,2053.42,Prata
16400,2052.59,Prata
18239,2052.56,Prata
13131,2051.57,Prata
16891,2050.52,Prata
16950,2048.33,Prata
18242,2048.32,Prata
15658,2047.0700000000002,Prata
14432,2041.17,Prata
16201,2039.32,Prata
13704,2038.1,Prata
14346,2037.55,Prata
16496,2036.25,Prata
12429,2035.77,Prata
13431,2031.9,Prata
15015,2031.51,Prata
18116,2029.47,Prata
12576,2028.88,Prata
16676,2020.33,Prata
13365,2018.27,Prata
16794,2017.85,Prata
16104,2016.95,Prata
16086,2015.63,Prata
15485,2014.75,Prata
17931,2014.09,Prata
13246,2012.89,Prata
16240,2011.34,Prata
18170,2007.9,Prata
14730,2005.06,Prata
16190,2004.64,Prata
15754,2000.21,Prata
16960,1999.8700000000001,Prata
15747,1997.71,Prata
12501,1996.1100000000001,Prata
12510,1995.75,Prata
13152,1989.8300000000002,Prata
12724,1988.36,Prata
15906,1987.09,Prata
17648,1986.85,Prata
13655,1986.76,Prata
17470,1986.23,Prata
13344,1980.72,Prata
16858,1979.16,Prata
13623,1978.98,Prata
16510,1977.8,Prata
15142,1974.56,Prata
16235,1970.81,Prata
13478,1970.47,Prata
13838,1966.09,Prata
16638,1966.05,Prata
12397,1960.71,Prata
17768,1960.17,Prata
13134,1959.29,Prata
16275,1955.75,Prata
15189,1955.68,Prata
16726,1955.3600000000001,Prata
14404,1952.79,Prata
15978,1952.26,Prata
17088,1951.21,Prata
18097,1950.4,Prata
15270,1950.3,Prata
17591,1949.68,Prata
15061,1948.17,Prata
13338,1947.17,Prata
17241,1944.49,Prata
16883,1943.99,Prata
14595,1941.6100000000001,Prata
16628,1941.6000000000001,Prata
16134,1941.38,Prata
14293,1940.13,Prata
